run,tag,step,value
tcn_100_16_0.001_20230606_023539,Learning Rate,28,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,29,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,30,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,31,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,32,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,33,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,34,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,35,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,36,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,37,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,38,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,39,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,40,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,41,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,42,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,43,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,44,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,45,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,46,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,47,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,48,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,49,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,50,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,51,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,52,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,53,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,54,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,55,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,56,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,57,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,58,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,59,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,60,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,61,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,62,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,63,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,64,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,65,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,66,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,67,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,68,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,69,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,70,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,71,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,72,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,73,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,74,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,75,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,76,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,77,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,78,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,79,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,80,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,81,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,82,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,83,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,84,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,85,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,86,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,87,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,88,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,89,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,90,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,91,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,92,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,93,9.999999747378752e-05
tcn_100_16_0.001_20230606_023539,Learning Rate,94,9.999999747378752e-06
tcn_100_16_0.001_20230606_023539,Learning Rate,95,9.999999747378752e-06
tcn_100_16_0.001_20230606_023539,Learning Rate,96,9.999999747378752e-06
tcn_100_16_0.001_20230606_023539,Learning Rate,97,9.999999747378752e-06
tcn_100_16_0.001_20230606_023539,Learning Rate,98,9.999999747378752e-06
