Sample Index,dry_DC,wet_DC,SNR
59,-7.012071819190169e-06,5.115819021739298e-07,-1.0502482652664185
60,-1.7706304333842127e-06,-1.3353973145058262e-06,-5.056211471557617
61,-2.9765387807856314e-06,-4.348152288002893e-06,-1.4406728744506836
62,2.2568879103346262e-06,-5.329986265678599e-07,2.007864475250244
63,-3.401763706278871e-06,1.0464787010278087e-06,3.2685675621032715
64,-1.4364812841449748e-06,-7.193639248725958e-07,-0.8953685164451599
65,-8.565652933612e-07,-1.7491284864945555e-08,1.5124083757400513
66,2.2398942292056745e-06,-5.572389341068629e-07,0.7230503559112549
67,1.0039201470135595e-06,-1.4699450048283325e-06,-2.4646389484405518
68,-5.1671750043169595e-06,-1.761208920925128e-07,0.9877386093139648
69,5.601700650004204e-07,1.9392301453535765e-07,1.3515658378601074
70,1.3680127040061052e-06,-1.0161949148823624e-06,0.8529262542724609
71,-2.396041054453235e-06,-5.854755613654561e-07,-1.9194445610046387
72,-2.0823068780373433e-07,-2.8266999834158923e-06,0.09047962725162506
73,1.7261188531847438e-06,-5.491662022905075e-07,3.963780641555786
74,-3.839732926280703e-06,-1.0406552064523567e-07,4.210630893707275
75,1.8847556475520832e-06,-1.6867631984496256e-06,-2.6144394874572754
76,-1.7866668713395484e-05,3.3187259873557196e-07,-2.0077219009399414
77,-2.4293615297210636e-06,1.8768438394545228e-06,-2.626755714416504
78,-4.888263902103063e-06,-2.1927258785581216e-05,3.343134880065918
79,-1.1707455769283115e-06,1.2927996522194007e-06,-2.0907857418060303
80,2.00306999431632e-06,-0.0007573298062197864,2.0725338459014893
81,-1.3277232255859417e-06,1.2658698551604175e-06,-1.8335212469100952
82,4.1077764763031155e-06,-5.63182879886881e-07,-1.1109068393707275
83,-4.862888545176247e-06,2.620042778289644e-07,-3.282382011413574
84,-1.5796504158060998e-06,-2.0919078451697715e-06,-1.7058908939361572
85,-4.878677827946376e-06,-6.342306679840704e-10,-1.4314044713974
86,5.839299319632119e-07,-2.1503248603949032e-07,-0.386478453874588
87,-2.5493022803857457e-06,2.2283953171609028e-07,-2.442600965499878
88,-1.470260286851044e-07,-5.858249778611935e-07,1.1315879821777344
89,1.7697750536171952e-06,-5.460894499265123e-06,-3.449094772338867
90,7.200166578513745e-07,1.0540553603277658e-06,-1.2831758260726929
91,-2.0396709032866056e-07,-1.965654064406408e-06,0.713999330997467
92,-8.379481641895836e-07,-4.201298509087792e-07,5.84986686706543
93,3.8421713810521396e-08,-2.1861708887627174e-07,-1.5322774648666382
94,-8.061390985858452e-07,-5.107261813463992e-07,2.611238956451416
95,4.198551266654249e-07,7.485789410566213e-07,2.5252723693847656
96,-3.6073382148060773e-07,3.5651481766763027e-07,1.0569595098495483
97,-7.17239709047135e-06,-8.993671372081735e-07,0.8813807964324951
98,1.7103459981626656e-07,-1.0429403118905611e-06,-2.708791494369507
99,-2.26961719818064e-06,-7.719469863332051e-07,0.37522679567337036
100,-1.139282858275692e-06,1.5200780012492032e-07,-0.22569963335990906
101,-4.321590552081034e-07,1.153489620264736e-06,-2.0693650245666504
102,4.050196196203615e-07,-5.696464882021246e-07,-1.1987890005111694
103,7.637627277290449e-07,3.3113445851995493e-07,3.693997859954834
104,-3.04654327010212e-06,7.674070161556301e-07,-1.386096715927124
105,-3.166273359056504e-07,5.3842786229552075e-08,1.1838926076889038
106,-1.513464326308167e-06,1.1268732578173513e-06,-2.9016640186309814
107,-4.342738577634009e-07,-1.3931400644651148e-05,-0.36583420634269714
108,-1.6995472833514214e-06,-8.305518690576719e-07,-1.401138424873352
