Index,dry_DC,wet_DC,SNR
198,-1.3494864115060068e-09,-1.2107193719801401e-11,-2.5270004272460938
199,7.522757972111549e-10,-5.092006261087079e-10,-1.0367921590805054
200,-1.8179416860775177e-09,-1.2442469277118562e-09,4.299310684204102
201,-1.4964025574215611e-09,3.1059608218697576e-09,-2.296355962753296
202,-8.835923104300036e-10,1.321546760912895e-09,0.10253915190696716
203,9.718350568732603e-10,-1.3119424435714677e-09,-1.5030338764190674
204,9.723007954320906e-10,1.885928302414186e-09,-0.5741565227508545
205,1.002103067193616e-09,7.161870541061433e-10,1.7019987106323242
206,3.5751146487683627e-10,2.5384361279634504e-10,0.4676395654678345
207,-1.8018763148219819e-09,-1.7954735476166661e-09,-2.7496628761291504
208,3.053573782718644e-10,-2.3534520998680364e-09,0.6726860404014587
209,-2.816319399912004e-09,-1.841457542006708e-09,-2.0624070167541504
210,7.152557435219364e-10,-1.1711381864287773e-10,-0.7194666862487793
211,1.5739351488797126e-10,2.1163724106543214e-09,3.7626028060913086
212,-9.341165618792502e-10,-2.1944288608466422e-09,5.995884418487549
213,-3.4389086023267623e-10,8.718343269542572e-10,1.8324637413024902
214,5.308538608694846e-10,1.6080738962642727e-09,1.04573655128479
215,-1.219916168082591e-09,-2.6714406242689392e-09,0.5367835164070129
216,1.2498349022393995e-09,-3.4994446229674736e-10,-4.161532402038574
217,-1.369044211330106e-09,5.460460417161528e-10,-2.8292605876922607
218,1.274049310495684e-09,-6.104819427754649e-10,-1.58591890335083
219,-2.8684735142725515e-10,7.51577300395212e-10,-2.4630019664764404
220,5.074544118244262e-10,2.390588560441387e-10,4.010748386383057
221,-1.5422702004386224e-09,-4.941248299417111e-09,0.15534131228923798
222,4.782341189724093e-10,3.5472331738617413e-09,-1.6113920211791992
223,1.4721881491652766e-09,2.6959461330022805e-09,-2.5645434856414795
224,-1.7136335406231495e-10,8.495990022616695e-10,0.8086145520210266
225,-1.4901161901614834e-11,2.5173649831344846e-09,-1.488771677017212
226,5.406327607815342e-10,-2.1306332254056315e-09,0.07966205477714539
227,1.501757607158538e-10,-4.775821960123494e-09,5.9215545654296875
228,1.899665313942478e-09,9.2864504974699e-10,-3.17510724067688
229,1.973239793784387e-09,2.430286194510245e-09,-2.267082452774048
